2023-05-07 03:50:48.060 User Agent: [Hub 3.4.2], Protocol version: [1.12], Session Id: [f8a25f11ee734dc3b12438ea6dec0ba7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2023-05-07 03:50:49.162 User Agent: [Hub 3.4.2], Protocol version: [1.12], Session Id: [f8a25f11ee734dc3b12438ea6dec0ba7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2023-05-07 03:51:02.861 User Agent: [Hub 3.4.2], Protocol version: [1.12], Session Id: [f8a25f11ee734dc3b12438ea6dec0ba7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2023-05-07 03:51:03.349 User Agent: [Hub 3.4.2], Protocol version: [1.12], Session Id: [f8a25f11ee734dc3b12438ea6dec0ba7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2023-05-07 03:51:19.463 User Agent: [Hub 3.4.2], Protocol version: [1.12], Session Id: [f8a25f11ee734dc3b12438ea6dec0ba7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 03:51:19.488 User Agent: [Hub 3.4.2], Protocol version: [1.12], Session Id: [f8a25f11ee734dc3b12438ea6dec0ba7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 03:51:48.037 User Agent: [Hub 3.4.2], Protocol version: [1.12], Session Id: [f8a25f11ee734dc3b12438ea6dec0ba7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 04:55:55.206 User Agent: [Hub 3.4.2], Protocol version: [1.12], Session Id: [f8a25f11ee734dc3b12438ea6dec0ba7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 04:55:55.222 User Agent: [Hub 3.4.2], Protocol version: [1.12], Session Id: [f8a25f11ee734dc3b12438ea6dec0ba7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 04:55:56.904 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2023-05-07 04:55:56.904 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 04:56:41.042 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.headless], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 04:56:42.259 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.ide.rider], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.259 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.ide.visualstudio], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.259 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.ide.vscode], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.259 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.test-framework], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.259 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.textmeshpro], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.259 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.ugui], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.259 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.animation], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.259 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.assetbundle], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.259 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.audio], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.259 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.cloth], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.259 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.director], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.259 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.imageconversion], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.259 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.imgui], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.259 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.jsonserialize], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.259 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.particlesystem], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.physics], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.physics2d], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.screencapture], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.terrain], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.terrainphysics], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.tilemap], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.ui], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.uielements], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.umbra], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequest], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequestassetbundle], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequestaudio], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequesttexture], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.unitywebrequestwww], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.vehicles], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.video], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.vr], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.wind], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.xr], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.subsystems], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.modules.uielementsnative], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.260 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.ext.nunit], Result: [granted: True, group: (null)]
2023-05-07 04:56:42.459 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.cluster], Result: [granted: False, group: (null)]
2023-05-07 04:56:42.459 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 04:56:43.018 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2023-05-07 04:56:43.019 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.disable], Result: [granted: False, group: (null)]
2023-05-07 04:56:43.019 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.prototyping], Result: [granted: False, group: (null)]
2023-05-07 04:56:43.019 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.edu], Result: [granted: False, group: (null)]
2023-05-07 04:56:43.019 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.trial], Result: [granted: False, group: (null)]
