WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
WARN  | vscode-loader: Package /home/vylssius/.dotfiles/.local/share/nvim/lazy/coc.nvim/package.json does not contribute any snippets, skipping it
